input_table	_c1	tablename	dev_owner	owner_src
autonavi_tinfo.yaw_links_base_gmatch	223879,134262442,gismonitor.yaw_user_match_dd,autonavi_tinfo.circle_choice_sample;344882,226739886,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.yaw_circle_active_stay_tag_buffer_day;185394,226426913,gd_cdm.dwd_gd_trvl_highway_di,;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;194251,225956898,gismonitor.yaw_user_match_dd,;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di	autonavi_tinfo.yaw_links_base_gmatch	223879	223879
autonavi_tinfo.yaw_links_base_gmatch_no_filter	223879,134915244,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;223879,134915244,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch	autonavi_tinfo.yaw_links_base_gmatch_no_filter	223879	223879
eta_dm.nds_turn_raw_data	223879,152285356,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch;205682,259594044,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_ext;197516,157726951,gd_cdm.dwd_gd_trvl_alley_5link_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;223879,134262442,gismonitor.yaw_user_match_dd,autonavi_tinfo.circle_choice_sample;197516,157726951,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext;197516,157726951,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;223879,152285356,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;197516,157726951,gismonitor.yaw_user_match_dd,autonavi_tinfo.daily_mining_link_pair_features_static_di;205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;223879,134915244,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch;203175,158601318,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.dwd_gd_map_trace_link_bhv_exyaw_di;201598,247234172,autonavi_navi.dwd_gd_trvl_circle_bad_action_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;223879,134915244,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;205682,259594044,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_ext;201598,247234172,autonavi_navi.dwd_gd_trvl_circle_parallel_cross_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext	eta_dm.nds_turn_raw_data	092626	092626
gd_ads.ads_gd_famaliar_road_feature_format_deviceid_di	143537,218660434,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_navi_trail_di;143537,218660434,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_navi_trail_di	gd_ads.ads_gd_famaliar_road_feature_format_deviceid_di	185394	185394
gd_ads.ads_gd_navi_feature_1d	143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;369466,247742297,gd_cdm.dwd_gd_trvl_route_detour_di,;143537,203544688,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di	gd_ads.ads_gd_navi_feature_1d	143537	143537
gd_ads.ads_gd_trl_badcase_scenic_spot_lists_di	369466,257552603,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,;205682,270308224,gd_cdm.dwd_gd_trvl_alley_5link_di,;369466,259219440,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;369466,259219440,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;194251,225956898,gismonitor.yaw_user_match_dd,	gd_ads.ads_gd_trl_badcase_scenic_spot_lists_di	369466	369466
gd_ads.ads_gd_trvl_badcase_vitiation_detail_di	143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;369466,247742297,gd_cdm.dwd_gd_trvl_route_detour_di,;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di	gd_ads.ads_gd_trvl_badcase_vitiation_detail_di	369466	369466
gd_ads.dws_gd_trvl_change_path_di	350347,268703761,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dws_gd_change_path_add_toll_di;350347,267639907,gd_ads.ads_gd_trvl_change_toll_drv_1d,	gd_ads.dws_gd_trvl_change_path_di	350347	350347
gd_ads.dws_gd_trvl_navi_metric_drv_di	143537,230571548,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,;143537,201892771,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.ads_gd_navi_feature_1d;185394,226426913,gd_cdm.dwd_gd_trvl_highway_di,;143537,201892771,gd_cdm.dwd_gd_trvl_route_detour_di,gd_ads.ads_gd_navi_feature_1d	gd_ads.dws_gd_trvl_navi_metric_drv_di	350347	350347
gd_ads.dws_gd_trvl_path_cover_metric_1d	350347,263000144,gd_ads.ads_gd_trvl_3bad_4bad_di,gd_ads.dws_gd_trvl_path_pair_detail_di;350347,263000144,gd_ads.dws_gd_trvl_diversity_bad_di,gd_ads.dws_gd_trvl_path_pair_detail_di;143537,218797830,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dws_gd_trvl_navi_drv_1d;350347,267521288,gd_ads.dws_gd_trvl_diversity_bad_di,	gd_ads.dws_gd_trvl_path_cover_metric_1d	350347	350347
gd_ads.dws_gd_trvl_path_pair_detail_di	350347,267521288,gd_ads.dws_gd_trvl_diversity_bad_di,;185394,269927063,gd_ads.ads_gd_trvl_3bad_4bad_di,	gd_ads.dws_gd_trvl_path_pair_detail_di	350347	350347
gd_ads.dws_gd_trvl_path_pair_detail_hi	350347,263000144,gd_ads.ads_gd_trvl_3bad_4bad_di,gd_ads.dws_gd_trvl_path_pair_detail_di;350347,263000144,gd_ads.dws_gd_trvl_diversity_bad_di,gd_ads.dws_gd_trvl_path_pair_detail_di	gd_ads.dws_gd_trvl_path_pair_detail_hi	350347	350347
gd_ads.dws_gd_trvl_path_roadnet_cover_metric_1d	143537,218797830,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dws_gd_trvl_navi_drv_1d	gd_ads.dws_gd_trvl_path_roadnet_cover_metric_1d	350347	350347
gd_ads.mds_gd_trvl_navi_link_invalid_backtrack_di	143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,	gd_ads.mds_gd_trvl_navi_link_invalid_backtrack_di	369466	369466
gd_ads.mds_gd_trvl_navi_link_stay_prediction_di	143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di	gd_ads.mds_gd_trvl_navi_link_stay_prediction_di	369466	369466
gd_cdm.alley_alternative_tmp_pre_dwd_gd_trvl_circle_detail_di	106847,249434214,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,249434214,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di	gd_cdm.alley_alternative_tmp_pre_dwd_gd_trvl_circle_detail_di	185394	185394
gd_cdm.dim_gd_adcode	350347,212109404,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;194251,225956898,gismonitor.yaw_user_match_dd,;350347,212109404,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;350347,212109404,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;143537,218797830,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dws_gd_trvl_navi_drv_1d	gd_cdm.dim_gd_adcode	181932	181932
gd_cdm.dim_gd_adcode_1st_ver	350347,258694697,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,gd_ads.dws_gd_trvl_diversity_bad_di,gd_cdm.dim_gd_trvl_navi_di	gd_cdm.dim_gd_adcode_1st_ver	143116	143116
gd_cdm.dim_gd_calendar	143537,217550814,gd_cdm.dwd_gd_trvl_alley_5link_di,	gd_cdm.dim_gd_calendar	248718	248718
gd_cdm.dim_gd_fp_ds	203175,158601318,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.dwd_gd_map_trace_link_bhv_exyaw_di	gd_cdm.dim_gd_fp_ds	143537	143537
gd_cdm.dim_gd_link	143116,101601775,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dim_gd_link_1st_ver;143116,101601775,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_1st_ver;143116,101601775,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_1st_ver;143116,101601775,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dim_gd_link_1st_ver;143116,101601775,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dim_gd_link_1st_ver;143116,101601775,gd_cdm.dwd_gd_trvl_alley_5link_di,gd_cdm.dim_gd_link_1st_ver;203175,198937848,gismonitor.yaw_user_match_dd,autonavi_tinfo.highway_link_scene;029023,137736900,gismonitor.yaw_user_match_dd,autonavi_tinfo.basic_link_info2;201598,247234172,autonavi_navi.dwd_gd_trvl_circle_parallel_cross_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;223879,254508146,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch;201598,247234172,autonavi_navi.dwd_gd_trvl_circle_bad_action_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;223879,134915244,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch;223879,254508146,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;223879,134915244,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;197516,157726951,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;197516,157726951,gismonitor.yaw_user_match_dd,autonavi_tinfo.daily_mining_link_pair_features_static_di;223879,134262442,gismonitor.yaw_user_match_dd,autonavi_tinfo.circle_choice_sample;143537,264024680,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_navi.tmp_dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;029023,202476989,gismonitor.yaw_user_match_dd,autonavi_tinfo.global_end_link;197516,157726951,gd_cdm.dwd_gd_trvl_alley_5link_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;197516,157726951,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;143537,230571548,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,;168848,254108588,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,;143537,233474156,gd_cdm.dwd_gd_trvl_opposite_strategy_di,;197257,180066282,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.gmatch_gd_trvl_arr_road_di;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;203175,158601318,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.dwd_gd_map_trace_link_bhv_exyaw_di	gd_cdm.dim_gd_link	143116	143116
gd_cdm.dim_gd_link_1st_ver	143537,218660434,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_navi_trail_di;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;369466,247742297,gd_cdm.dwd_gd_trvl_route_detour_di,;185394,263131727,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,248658625,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,248658625,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;185394,263131727,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;350347,268703761,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dws_gd_change_path_add_toll_di;143116,117162567,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_1st_ver;205682,260723005,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_penalty_features;185394,226426913,gd_cdm.dwd_gd_trvl_highway_di,;106847,245529452,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,245529452,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_circle_detail_di,;205682,270308224,gd_cdm.dwd_gd_trvl_alley_5link_di,;205682,260723005,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_penalty_features;165637,203891548,gd_cdm.dwd_gd_trvl_route_detour_di,autonavi_navi.dwd_gd_trvl_car_nds_high_penalty_drv_di;143116,117162567,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_1st_ver;106847,245529452,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;106847,245529452,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_circle_detail_di,;143116,117162567,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_1st_ver;143537,218660434,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_navi_trail_di	gd_cdm.dim_gd_link_1st_ver	143116	143116
gd_cdm.dim_gd_link_adfplus	201598,247234172,autonavi_navi.dwd_gd_trvl_circle_parallel_cross_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;143116,117162567,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_1st_ver;205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext;143116,117162567,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_1st_ver;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext;029023,137736900,gismonitor.yaw_user_match_dd,autonavi_tinfo.basic_link_info2;201598,247234172,autonavi_navi.dwd_gd_trvl_circle_bad_action_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;143116,117162567,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_1st_ver	gd_cdm.dim_gd_link_adfplus	143116	143116
gd_cdm.dim_gd_link_ext	350347,268703761,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dws_gd_change_path_add_toll_di;205682,259594044,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_ext;143537,218660434,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_navi_trail_di;143537,218660434,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_navi_trail_di;205682,259594044,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_ext	gd_cdm.dim_gd_link_ext	205682	205682
gd_cdm.dim_gd_link_extend	185394,263143055,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di;106847,253481224,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;143537,264024680,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_navi.tmp_dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;143537,217551841,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;143537,217551841,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_linkpair_trail_di;143537,217551841,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;143537,217551841,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;106847,253469569,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di;205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;185394,263891418,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext;185394,263891418,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;106847,253481224,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;106847,253469569,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext;143537,203544688,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di;185394,263143055,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di	gd_cdm.dim_gd_link_extend	186680	186680
gd_cdm.dim_gd_link_pair_1st_ver	143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;369466,269377248,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.mds_gd_trvl_navi_link_invalid_backtrack_di;369466,247742297,gd_cdm.dwd_gd_trvl_route_detour_di,;197516,157726951,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;369466,234128968,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;197516,157726951,gd_cdm.dwd_gd_trvl_alley_5link_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;197516,157726951,gismonitor.yaw_user_match_dd,autonavi_tinfo.daily_mining_link_pair_features_static_di;197516,157726951,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_tinfo.daily_mining_link_pair_features_static_di	gd_cdm.dim_gd_link_pair_1st_ver	143116	143116
gd_cdm.dim_gd_link_pair_ext	143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;369466,247742297,gd_cdm.dwd_gd_trvl_route_detour_di,;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;369466,234128968,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,;143537,255662538,gd_cdm.dwd_gd_trvl_cont_yaw_di,;205682,260723005,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_penalty_features;205682,260723005,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_penalty_features	gd_cdm.dim_gd_link_pair_ext	205682	205682
gd_cdm.dim_gd_link_pair_penalty_features	143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;369466,247742297,gd_cdm.dwd_gd_trvl_route_detour_di,	gd_cdm.dim_gd_link_pair_penalty_features	205682	205682
gd_cdm.dim_gd_poi	369466,249450990,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.ads_gd_trl_badcase_scenic_spot_lists_di;369466,249450990,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_ads.ads_gd_trl_badcase_scenic_spot_lists_di;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;369466,249450990,gismonitor.yaw_user_match_dd,gd_ads.ads_gd_trl_badcase_scenic_spot_lists_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;369466,249450990,gd_cdm.dwd_gd_trvl_alley_5link_di,gd_ads.ads_gd_trl_badcase_scenic_spot_lists_di	gd_cdm.dim_gd_poi	358627	358627
gd_cdm.dim_gd_trvl_log_di	350347,258694697,gd_ads.dws_gd_trvl_diversity_bad_di,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_trvl_navi_di	gd_cdm.dim_gd_trvl_log_di	350347	350347
